ligne,journal_detaille_2024_min,journal_hors_section_min,journal_section_min,suivi_ref_2024_min,ecart_ratio
L11,24421.0,2805.0,21616.0,5366,4.551062243756989
L12,12758.5,5223.5,7535.0,5603,2.277083705157951
L13,17323.0,1844.0,15479.0,4438,3.9033348355114916
L21,15102.0,13872.0,1230.0,2453,6.156543008560946
L22,23813.0,10488.0,13325.0,5558,4.284454839870457
L23,13085.0,12575.0,510.0,2748,4.761644832605532
