id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1677,2024-07-19,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,30.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1678,2024-07-19,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,35.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1679,2024-07-19,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,20.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1680,2024-07-20,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,30.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1681,2024-07-21,L13,Four 1,changement bras de transfert,bras de transfert,Section n°5,40.0,import_2024,section n°5,bras de transfert,Section n°5,bras de transfert
1682,2024-07-21,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,30.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1683,2024-07-21,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,35.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1684,2024-07-21,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,20.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1685,2024-07-24,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°9,20.0,import_2024,section n°9,rippeur,Section n°9,rippeur
1686,2024-07-24,L13,Four 1,Support téte de gonflage,gonflage,Section n°9,15.0,import_2024,section n°9,gonflage,Section n°9,gonflage
1687,2024-07-24,L13,Four 1,changement tout les poincon et refroidesseur,poincon,Machine,5.0,import_2024,machine,poincon,Machine,poincon
1688,2024-07-24,L13,Four 1,Mauvaise recange take-out,take-out,Section n°9,45.0,import_2024,section n°9,take-out,Section n°9,take-out
1689,2024-07-25,L13,Four 1,Vis console,Console,Section n°4,20.0,import_2024,section n°4,console,Section n°4,Console
1690,2024-07-27,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°1,20.0,import_2024,section n°1,rippeur,Section n°1,rippeur
1691,2024-07-28,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°1,60.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1692,2024-07-28,L13,Four 1,Chnagement FPS,FPS,Section n°1,60.0,import_2024,section n°1,fps,Section n°1,FPS
1693,2024-07-28,L13,Four 1,changement poincon,Poincon,Section n°2,15.0,import_2024,section n°2,poincon,Section n°2,poincon
1694,2024-07-29,L13,Four 1,Variation montée poincon,Poincon,Section n°1,60.0,import_2024,section n°1,poincon,Section n°1,poincon
1695,2024-07-30,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,15.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1696,2024-07-30,L13,Four 1,Variation montée poincon,Poincon,Section n°1,20.0,import_2024,section n°1,poincon,Section n°1,poincon
1697,2024-07-30,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°1,10.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1698,2024-07-30,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°5,10.0,import_2024,section n°5,bras de transfert,Section n°5,bras de transfert
1699,2024-07-30,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°8,10.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1700,2024-07-30,L13,Four 1,Mauvaise percage,Percage,Section n°1,90.0,import_2024,section n°1,percage,Section n°1,percage
1701,2024-07-30,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°1,35.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1702,2024-07-30,L13,Four 1,Ventillation,Ventillation,Section n°5,15.0,import_2024,section n°5,ventillation,Section n°5,ventillation
1703,2024-07-30,L13,Four 1,Ventillation,Ventillation,Section n°4,15.0,import_2024,section n°4,ventillation,Section n°4,ventillation
1704,2024-07-30,L13,Four 1,Ventillation,Ventillation,Section n°10,20.0,import_2024,section n°10,ventillation,Section n°10,ventillation
1705,2024-07-30,L13,Four 1,Changement cartouche poincon,Poincon,Section n°1,30.0,import_2024,section n°1,poincon,Section n°1,poincon
1706,2024-07-31,L13,Four 1,Chnagement FPS,FPS,Section n°5,40.0,import_2024,section n°5,fps,Section n°5,FPS
1707,2024-07-31,L13,Four 1,Variation montée poincon,Poincon,Section n°5,50.0,import_2024,section n°5,poincon,Section n°5,poincon
1708,2024-07-31,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°2,15.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1709,2024-07-31,L13,Four 1,Changement cylindre et FPS,FPS,Section n°5,120.0,import_2024,section n°5,fps,Section n°5,FPS
1710,2024-07-31,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,20.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1711,2024-07-31,L13,Four 1,Changement bras de transfert,bras de transfert,Section n°1,15.0,import_2024,section n°1,bras de transfert,Section n°1,bras de transfert
1712,2024-07-31,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,15.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1713,2024-08-01,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,45.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1714,2024-08-01,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,45.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1715,2024-08-01,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,45.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1716,2024-08-01,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°10,45.0,import_2024,section n°10,rippeur,Section n°10,rippeur
1717,2024-08-01,L13,Four 1,Manque verti-flow,verti-flow,Section n°5,140.0,import_2024,section n°5,verti-flow,Section n°5,verti-flow
1718,2024-08-01,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,10.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1719,2024-08-02,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,60.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1720,2024-08-02,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,60.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1721,2024-08-02,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,60.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1722,2024-08-02,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°2,15.0,import_2024,section n°2,rippeur,Section n°2,rippeur
1723,2024-08-02,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,15.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1724,2024-08-03,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,90.0,import_2024,section n°4,rippeur,Section n°4,rippeur
