id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1816,2024-08-27,L13,Four 1,Montage tube du refroidissement coté Eb,tube de refroidissement,Section n°6,25.0,import_2024,section n°6,tube de refroidissement,Section n°6,tube de refroidissement
1817,2024-08-27,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°9,20.0,import_2024,section n°9,rippeur,Section n°9,rippeur
1818,2024-08-28,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°9,15.0,import_2024,section n°9,bras de transfert,Section n°9,bras de transfert
1819,2024-08-28,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°8,15.0,import_2024,section n°8,bras de transfert,Section n°8,bras de transfert
1820,2024-08-28,L13,Four 1,Bras de take-out,take-out,Section n°5,20.0,import_2024,section n°5,take-out,Section n°5,take-out
1821,2024-08-28,L13,Four 1,Manque l'eau de ciseaux,Mécanisme ciseaux,machine,15.0,import_2024,machine,mécanisme ciseaux,Machine,Mécanisme ciseaux
1822,2024-08-29,L13,Four 1,Support de compression,compression,Section n°4,20.0,import_2024,section n°4,compression,Section n°4,compression
1823,2024-08-29,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°1,30.0,import_2024,section n°1,rippeur,Section n°1,rippeur
1824,2024-08-29,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,30.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1825,2024-08-29,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,30.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1826,2024-08-29,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,30.0,import_2024,section n°5,rippeur,Section n°5,rippeur
